Size|Sorting Algorithm|File Name|File Input Type|Time Taken
20500|merge sort|ascorder.txt|asc|0.000000
20500|heap sort|ascorder.txt|asc|0.000000
20500|bubble sort|descorder.txt|desc|1.328125
20500|selection sort|descorder.txt|desc|0.812500
20500|insertion sort|descorder.txt|desc|0.765625
20500|quick sort|descorder.txt|desc|0.156250
20500|merge sort|descorder.txt|desc|0.000000
20500|heap sort|descorder.txt|desc|0.000000
21000|bubble sort|randomlist.txt|random|1.734375
21000|selection sort|randomlist.txt|random|0.734375
21000|insertion sort|randomlist.txt|random|0.437500
21000|quick sort|randomlist.txt|random|0.000000
21000|merge sort|randomlist.txt|random|0.000000
21000|heap sort|randomlist.txt|random|0.015625
21000|bubble sort|ascorder.txt|asc|0.781250
21000|selection sort|ascorder.txt|asc|0.734375
21000|insertion sort|ascorder.txt|asc|0.000000
21000|quick sort|ascorder.txt|asc|0.031250
21000|merge sort|ascorder.txt|asc|0.000000
21000|heap sort|ascorder.txt|asc|0.015625
21000|bubble sort|descorder.txt|desc|1.390625
21000|selection sort|descorder.txt|desc|0.796875
21000|insertion sort|descorder.txt|desc|0.843750
21000|quick sort|descorder.txt|desc|0.218750
21000|merge sort|descorder.txt|desc|0.000000
21000|heap sort|descorder.txt|desc|0.015625
21500|bubble sort|randomlist.txt|random|1.875000
21500|selection sort|randomlist.txt|random|0.781250
21500|insertion sort|randomlist.txt|random|0.421875
21500|quick sort|randomlist.txt|random|0.015625
21500|merge sort|randomlist.txt|random|0.000000
21500|heap sort|randomlist.txt|random|0.015625
21500|bubble sort|ascorder.txt|asc|0.796875
21500|selection sort|ascorder.txt|asc|0.828125
21500|insertion sort|ascorder.txt|asc|0.000000
21500|quick sort|ascorder.txt|asc|0.046875
21500|merge sort|ascorder.txt|asc|0.000000
21500|heap sort|ascorder.txt|asc|0.000000
21500|bubble sort|descorder.txt|desc|1.468750
21500|selection sort|descorder.txt|desc|0.812500
21500|insertion sort|descorder.txt|desc|0.843750
21500|quick sort|descorder.txt|desc|0.203125
21500|merge sort|descorder.txt|desc|0.000000
21500|heap sort|descorder.txt|desc|0.000000
22000|bubble sort|randomlist.txt|random|2.015625
22000|selection sort|randomlist.txt|random|0.796875
22000|insertion sort|randomlist.txt|random|0.421875
22000|quick sort|randomlist.txt|random|0.015625
22000|merge sort|randomlist.txt|random|0.000000
22000|heap sort|randomlist.txt|random|0.000000
22000|bubble sort|ascorder.txt|asc|0.828125
22000|selection sort|ascorder.txt|asc|0.828125
22000|insertion sort|ascorder.txt|asc|0.000000
22000|quick sort|ascorder.txt|asc|0.031250
22000|merge sort|ascorder.txt|asc|0.015625
22000|heap sort|ascorder.txt|asc|0.015625
22000|bubble sort|descorder.txt|desc|1.562500
22000|selection sort|descorder.txt|desc|0.875000
22000|insertion sort|descorder.txt|desc|0.859375
22000|quick sort|descorder.txt|desc|0.218750
22000|merge sort|descorder.txt|desc|0.000000
22000|heap sort|descorder.txt|desc|0.015625
22500|bubble sort|randomlist.txt|random|2.031250
22500|selection sort|randomlist.txt|random|0.859375
22500|insertion sort|randomlist.txt|random|0.453125
22500|quick sort|randomlist.txt|random|0.000000
22500|merge sort|randomlist.txt|random|0.015625
22500|heap sort|randomlist.txt|random|0.015625
22500|bubble sort|ascorder.txt|asc|0.859375
22500|selection sort|ascorder.txt|asc|0.890625
22500|insertion sort|ascorder.txt|asc|0.000000
22500|quick sort|ascorder.txt|asc|0.046875
22500|merge sort|ascorder.txt|asc|0.000000
22500|heap sort|ascorder.txt|asc|0.000000
22500|bubble sort|descorder.txt|desc|1.546875
22500|selection sort|descorder.txt|desc|0.953125
22500|insertion sort|descorder.txt|desc|0.890625
